Id;Pclass1;Pclass2;Pclass3;SexM;SexF;age_c;age_y;age_m;age_o;sibsp_is;parch_is;embarked_C;embarked_S;embarked_Q;Survived
1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
2;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1
3;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
4;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1
5;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
7;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
8;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
9;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1
10;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1
11;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1
12;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1
13;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
14;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0
15;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
16;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
17;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0
19;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0
21;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
22;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1
23;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1
24;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1
25;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0
26;0;0;1;0;1;0;0;1;0;1;1;0;1;0;1
28;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0
31;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0
34;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0
35;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0
36;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0
38;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
39;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0
40;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1
41;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0
42;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0
44;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1
45;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1
50;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0
51;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
52;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
53;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1
54;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1
55;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0
57;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
58;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0
59;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1
60;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
61;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0
62;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
63;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0
64;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
67;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
68;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
69;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1
70;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
71;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
72;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0
73;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
74;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0
75;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1
76;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
79;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1
80;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1
81;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
82;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
84;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0
85;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
86;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1
87;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0
89;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1
90;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
91;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
92;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
93;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0
94;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0
95;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
97;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
98;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1
99;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1
100;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0
101;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
103;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0
104;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
105;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0
106;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
107;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
109;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
111;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
112;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0
113;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
114;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0
115;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0
116;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
117;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0
118;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0
119;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0
120;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0
121;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0
123;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0
124;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
125;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0
126;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1
128;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
130;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
131;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
132;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
133;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0
134;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1
135;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
136;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0
137;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1
138;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0
139;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
140;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0
142;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
143;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1
144;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
145;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
146;0;1;0;1;0;0;1;0;0;1;1;0;1;0;0
147;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
148;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0
149;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0
150;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
151;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0
152;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1
153;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
154;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0
156;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0
157;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1
158;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
161;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0
162;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
163;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
164;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
165;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
166;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1
168;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0
170;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
171;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
172;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0
173;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1
174;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
175;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
176;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0
178;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0
179;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
180;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
183;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
184;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1
185;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1
188;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
189;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0
190;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
191;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
192;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
193;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1
194;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1
195;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
196;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1
198;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0
200;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0
201;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
203;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
204;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
205;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
206;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0
207;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0
208;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
209;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1
210;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
211;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
212;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
213;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
214;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
216;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1
217;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
218;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0
219;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
220;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
221;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
222;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
223;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
225;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1
226;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
